Accident Ref No.,Casualty Class,Sex of Casualty
10AA0006388,Driver,Male
10BA0006369,Pedestrian,Female
10CA0006365,Driver,Male
10AA0006359,Pedestrian,Male
10AA0006371,Passenger,Female
10AA0006378,Driver,Male
10AA0006379,Driver,Female
10AA0006437,Driver,Female
10AA0006436,Driver,Male
10AA0006448,Driver,Male
10AA0006517,Driver,Male
10AA0006517,Passenger,Female
10BA0006393,Passenger,Female
10CA0006377,Pedestrian,Male
10AA0006447,Driver,Male
10CA0006401,Pedestrian,Male
10CA0006450,Pedestrian,Male
10CA0006408,Driver,Male
10CA0006625,Pedestrian,Male
10AA0006414,Driver,Male
10AA0006416,Pedestrian,Female
10AA0006416,Pedestrian,Male
10AA0006418,Driver,Female
10AA0006432,Driver,Male
10BA0006417,Passenger,Male
10BA0006417,Passenger,Male
10BA0006427,Driver,Male
10CA0006428,Passenger,Female
10CA0006440,Driver,Female
10AA0006484,Driver,Male
10AA0006508,Pedestrian,Male
10AA0006991,Driver,Male
10CA0006487,Passenger,Female
10CA0006487,Passenger,Female
10MU0006456,Driver,Female
10AA0006466,Driver,Male
10AA0006472,Driver,Female
10BA0006455,Driver,Male
10BA0006516,Passenger,Female
10BA0006516,Passenger,Female
10BA0006568,Pedestrian,Male
10BA0006611,Driver,Female
10CA0006471,Driver,Male
10CA0006488,Driver,Female
10AA0006467,Driver,Male
10AA0006467,Driver,Female
10AA0006473,Driver,Male
10BA0006513,Driver,Female
10BA0006513,Driver,Male
10BA0006513,Passenger,Female
10BA0006513,Passenger,Male
10BA0006513,Passenger,Female
10BA0006725,Driver,Female
10BA0006725,Passenger,Male
10CA0006478,Passenger,Female
10CA0006480,Pedestrian,Male
10CA0006813,Driver,Male
10AA0006521,Driver,Male
10AA0006521,Driver,Male
10BA0006515,Driver,Male
10BA0006523,Driver,Male
10BA0006523,Passenger,Male
10BA0006523,Passenger,Male
10BA0006523,Passenger,Female
10BA0006523,Passenger,Female
10BA0006523,Passenger,Male
10BA0006551,Driver,Female
10BA0006551,Driver,Male
10BA0006551,Passenger,Male
10CA0006481,Passenger,Male
10CA0006489,Passenger,Male
10CA0006530,Driver,Male
10CA0006553,Driver,Male
10CA0006553,Driver,Male
10CA0006553,Passenger,Female
10CA0006553,Passenger,Female
10CA0006566,Pedestrian,Female
10AA0006510,Driver,Female
10AA0006524,Driver,Male
10AA0006527,Passenger,Female
10AA0006528,Driver,Male
10BA0006512,Driver,Male
10BA0006529,Passenger,Female
10CA0006772,Driver,Male
10AA0006537,Driver,Male
10AA0006543,Driver,Male
10BA0006520,Pedestrian,Male
10BA0006525,Passenger,Male
10BA0006525,Passenger,Male
10CA0006564,Driver,Female
10CA0006564,Driver,Female
10CA0006564,Passenger,Female
10CA0006565,Driver,Male
10CA0006565,Driver,Female
10AA0006567,Driver,Male
10BA0006557,Driver,Female
10BA0006558,Pedestrian,Female
10CA0006535,Driver,Male
10BA0006555,Driver,Male
10BA0006569,Pedestrian,Female
10BA0006610,Passenger,Male
10CA0006657,Driver,Female
10CA0467680,Driver,Male
10CA0467680,Passenger,Male
10AA0006574,Passenger,Female
10AA0006580,Driver,Female
10AA0006580,Passenger,Female
10AA0006587,Pedestrian,Female
10AA0006597,Driver,Male
10AA0006599,Passenger,Female
10BA0006633,Driver,Male
10BA0006683,Driver,Female
10BA0006683,Passenger,Male
10BA0006683,Passenger,Male
10CA0006581,Driver,Male
10CA0006594,Pedestrian,Female
10AA0006588,Driver,Female
10AA0006588,Driver,Male
10AA0006591,Driver,Male
10AA0006593,Driver,Male
10AA0446785,Driver,Male
10BA0006613,Driver,Female
10BA0006613,Passenger,Male
10BA0006619,Driver,Male
10BA0006619,Passenger,Female
10BA0006620,Pedestrian,Female
10BA0006641,Driver,Male
10BA0006647,Driver,Male
10BA0006647,Passenger,Female
10BA0006647,Passenger,Male
10BA0006684,Driver,Male
10CA0006578,Driver,Female
10CA0006583,Driver,Female
10CA0006583,Passenger,Female
10CA0006608,Pedestrian,Female
10AA0006600,Driver,Male
10AA0006612,Passenger,Female
10BA0006605,Passenger,Male
10BA0006605,Passenger,Male
10BA0006605,Passenger,Male
10BA0006895,Driver,Male
10CA0006592,Passenger,Female
10CA0006623,Driver,Male
10AA0006598,Driver,Male
10BA0006614,Driver,Male
10BA0006628,Driver,Male
10BA0006628,Driver,Male
10BA0006634,Driver,Male
10BA0006634,Driver,Male
10BA0006634,Passenger,Male
10BA0006635,Driver,Male
10MU0006627,Driver,Female
10AA0006579,Driver,Male
10AA0006579,Driver,Male
10AA0006579,Passenger,Male
10AA0006579,Passenger,Male
10BA0006639,Driver,Female
10BA0006639,Passenger,Male
10BA0006697,Passenger,Male
10BA0006873,Passenger,Female
10CA0006604,Driver,Male
10MU0006646,Driver,Male
10MU0006651,Driver,Male
10AA0452087,Pedestrian,Male
10AA0452223,Driver,Female
10AA0452223,Driver,Male
10AA0452229,Passenger,Male
10AA0452590,Driver,Female
10BA0006632,Passenger,Female
10BA0006642,Driver,Male
10BA0006642,Driver,Male
10BA0006680,Driver,Male
10CA0451879,Pedestrian,Female
10CA0452218,Driver,Male
10AA0453772,Driver,Male
10BA0006648,Driver,Male
10BA0006659,Pedestrian,Female
10BA0006695,Driver,Male
10CA0454126,Driver,Male
10CA0454179,Pedestrian,Female
10CA0455480,Passenger,Female
10AA0455100,Driver,Female
10AA0456208,Driver,Male
10BA0006653,Pedestrian,Male
10BA0006654,Passenger,Male
10CA0454919,Pedestrian,Female
10CA0456410,Driver,Male
10CA0456410,Passenger,Female
10CA0458730,Passenger,Female
10MU0006681,Driver,Male
10AA0456912,Pedestrian,Female
10AA0457814,Driver,Female
10AA0460820,Passenger,Female
10MU0006674,Driver,Female
10AA0466695,Driver,Male
10BA0006761,Driver,Male
10CA0458597,Driver,Male
10CA0500510,Driver,Male
10MU0006691,Driver,Male
10AA0461428,Pedestrian,Male
10AA0461902,Pedestrian,Male
10CA0460796,Passenger,Female
10CA0461279,Driver,Male
10CA0470778,Driver,Male
10AA0462531,Pedestrian,Male
10AA0464194,Driver,Male
10CA0461633,Pedestrian,Female
10CA0461633,Pedestrian,Female
10CA0461896,Driver,Male
10CA0462582,Passenger,Male
10MU0462339,Driver,Male
10MU0462339,Passenger,Female
10AA0464801,Driver,Male
10AA0467879,Driver,Female
10AA0467879,Passenger,Female
10BA0006731,Driver,Male
10BA0006731,Driver,Male
10BA0006734,Pedestrian,Female
10CA0006705,Driver,Female
10CA0006705,Passenger,Male
10CA0470810,Driver,Male
10CA0471270,Pedestrian,Male
10CA0493705,Passenger,Female
10AA0466485,Driver,Male
10AA0466757,Driver,Male
10AA0466842,Driver,Male
10BA0006727,Driver,Male
10BA0006727,Passenger,Male
10CA0466552,Driver,Male
10CA0466552,Driver,Male
10CA0466552,Passenger,Female
10CA0466896,Driver,Male
10CA0466896,Driver,Male
10MU0006722,Driver,Male
10MU0006722,Driver,Male
10MU0006722,Driver,Female
10AA0467110,Driver,Male
10BA0006747,Driver,Male
10BA0006759,Driver,Male
10BA0006784,Driver,Male
10BA0006987,Pedestrian,Female
10BA0006987,Pedestrian,Female
10BA0467013,Driver,Male
10BA0467013,Passenger,Male
10BA0475621,Driver,Male
10CA0468431,Driver,Male
10CA0468431,Passenger,Male
10CA0469328,Pedestrian,Male
10AA0470357,Passenger,Female
10BA0006729,Driver,Female
10BA0006730,Driver,Male
10BA0006735,Driver,Female
10BA0006767,Driver,Male
10BA0006767,Driver,Male
10BA0006782,Driver,Female
10BA0006785,Driver,Female
10CA0469639,Driver,Male
10CA0471466,Driver,Male
10AA0471613,Driver,Male
10AA0472086,Pedestrian,Female
10AA0472154,Pedestrian,Female
10AA0476476,Pedestrian,Male
10AA0478014,Driver,Male
10BA0006744,Pedestrian,Male
10BA0006768,Driver,Male
10BA0006781,Driver,Male
10BA0006781,Passenger,Female
10BA0006781,Passenger,Male
10BA0006781,Passenger,Female
10CA0472533,Passenger,Male
10MU0006753,Driver,Male
10MU0006753,Driver,Female
10MU0006753,Passenger,Female
10MU0006753,Passenger,Female
10MU0006753,Passenger,Female
10MU0006753,Passenger,Female
10MU0006760,Driver,Female
10AA0523442,Pedestrian,Female
10BA0006779,Driver,Male
10CA0473584,Passenger,Female
10CA0473584,Driver,Female
10AA0475512,Pedestrian,Male
10AA0476709,Driver,Female
10BA0006794,Driver,Male
10CA0475732,Driver,Male
10CA0476608,Driver,Male
10CA0476608,Passenger,Male
10CA0478118,Driver,Male
10CA0484061,Driver,Female
10MU0006795,Driver,Male
10MU0006795,Passenger,Female
10AA0477698,Driver,Female
10BA0006790,Driver,Male
10BA0006790,Passenger,Male
10BA0006790,Passenger,Male
10BA0006790,Passenger,Male
10BA0006791,Driver,Male
10BA0006802,Driver,Female
10BA0006802,Driver,Male
10BA0006802,Passenger,Male
10CA0006814,Pedestrian,Female
10CA0477756,Passenger,Female
10CA0478680,Driver,Male
10CA0479145,Driver,Male
10CA0479145,Passenger,Male
10CA0479145,Passenger,Male
10AA0479282,Driver,Female
10AA0480159,Driver,Female
10AA0480159,Passenger,Male
10BA0006808,Driver,Male
10BA0006808,Passenger,Female
10BA0006816,Driver,Female
10BA0006816,Passenger,Female
10BA0006816,Passenger,Female
10BA0006817,Driver,Female
10BA0006823,Driver,Female
10BA0006823,Driver,Female
10BA0006823,Passenger,Female
10CA0480108,Driver,Male
10CA0480282,Pedestrian,Male
10CA0480746,Pedestrian,Female
10MU0006803,Driver,Male
10MU0480952,Driver,Female
10MU0480952,Passenger,Male
10AA0481130,Driver,Male
10AA0481130,Passenger,Male
10AA0482051,Passenger,Female
10AA0482051,Passenger,Male
10AA0482580,Driver,Male
10AA0482580,Driver,Male
10AA0482580,Passenger,Male
10BA0006835,Pedestrian,Female
10BA0006850,Driver,Male
10CA0481482,Driver,Male
10CA0481482,Passenger,Female
10CA0481482,Passenger,Female
10CA0482639,Driver,Female
10CA0482639,Driver,Female
10MU0006824,Driver,Female
10MU0006824,Driver,Female
10AA0484080,Driver,Male
10AA0484080,Driver,Male
10AA0484322,Pedestrian,Female
10AA0484322,Pedestrian,Female
10CA0486894,Driver,Female
10CA491750,Passenger,Female
10AA0485772,Driver,Male
10AA0485772,Passenger,Male
10BA0006846,Driver,Male
10BA0006863,Driver,Male
10CA0485715,Driver,Male
10CA0485964,Driver,Male
10AA0488909,Driver,Female
10AA0491735,Driver,Female
10AA0491735,Passenger,Female
10AA0488636,Driver,Female
10AA0488636,Driver,Female
10BA0488838,Driver,Male
10BA0488839,Pedestrian,Female
10BA0490326,Driver,Female
10BA0490326,Driver,Female
10CA0488335,Pedestrian,Male
10MU0006854,Driver,Male
10AA0489926,Passenger,Female
10AA0490609,Driver,Female
10AA0500283,Driver,Male
10BA0553573,Driver,Female
10AA0492628,Driver,Male
10BA0492609,Passenger,Male
10CA0492106,Pedestrian,Male
10CA0492120,Passenger,Female
10CA0492158,Pedestrian,Female
10CA0493713,Passenger,Female
10CA0500021,Driver,Male
10MU0006894,Driver,Female
10MU0006906,Driver,Male
10MU0006906,Driver,Male
10MU0006906,Driver,Male
10MU0006906,Driver,Female
10BA0492799,Driver,Female
10BA0494216,Driver,Male
10BA0494216,Driver,Female
10BA0495403,Pedestrian,Female
10BA0499476,Passenger,Female
10CA0006879,Driver,Male
10CA0494436,Driver,Female
10AA0495747,Driver,Male
10AA0495883,Driver,Female
10AA0495883,Driver,Male
10AA0495883,Driver,Female
10AA0495883,Passenger,Female
10AA0495886,Driver,Male
10AA0495886,Passenger,Female
10AA0496012,Pedestrian,Female
10AA0496012,Driver,Female
10AA0496136,Driver,Male
10AA0496141,Driver,Male
10AA0497282,Driver,Female
10BA0496053,Driver,Male
10CA0495362,Driver,Male
10CA0495383,Driver,Male
10CA0496035,Driver,Male
10CA0496035,Driver,Female
10CA0496035,Passenger,Male
10CA0496432,Driver,Male
10MU0006898,Driver,Male
10AA0497283,Driver,Male
10AA0497652,Pedestrian,Male
10BA0497363,Driver,Male
10CA0497270,Passenger,Male
10CA0497331,Pedestrian,Female
10CA0513965,Pedestrian,Male
10MU0006901,Driver,Male
10BA0500018,Pedestrian,Male
10AA0499796,Driver,Male
10AA0500777,Pedestrian,Male
10AA0503117,Pedestrian,Female
10BA0499016,Passenger,Male
10BA0499016,Passenger,Male
10BA0500452,Passenger,Female
10CA0500345,Pedestrian,Female
10CA0500444,Driver,Female
10AA0502145,Pedestrian,Male
10AA0502259,Passenger,Female
10AA0502437,Driver,Female
10AA0502760,Driver,Male
10AA0503234,Passenger,Male
10AA0503234,Passenger,Female
10BA0502461,Passenger,Male
10BA0502461,Passenger,Male
10BA0502461,Passenger,Male
10BA0502461,Passenger,Male
10BA0502638,Driver,Female
10BA0502638,Driver,Male
10BA0504974,Driver,Female
10CA0501569,Passenger,Female
10CA0502695,Driver,Male
10AA0504026,Pedestrian,Male
10AA0509834,Driver,Male
10BA0503891,Driver,Male
10BA0503891,Driver,Female
10BA0504045,Driver,Male
10BA0504045,Driver,Male
10BA0504045,Passenger,Female
10BA0504045,Passenger,Male
10BA0504096,Driver,Male
10BA0504522,Driver,Male
10BA0504522,Driver,Female
10CA0503242,Driver,Male
10CA0503242,Driver,Male
10CA0505031,Pedestrian,Female
10CA0542818,Driver,Female
10MU0006910,Driver,Male
10AA0505542,Passenger,Male
10AA0505547,Pedestrian,Female
10AA0506119,Driver,Male
10AA0508423,Driver,Male
10BA0056566,Driver,Male
10BA0504692,Driver,Female
10BA0505521,Driver,Male
10BA0505521,Driver,Female
10BA0505521,Passenger,Male
10BA0506117,Driver,Male
10BA0514078,Pedestrian,Female
10CA0504576,Driver,Female
10CA0504710,Pedestrian,Female
10CA0506220,Driver,Male
10AA0506981,Pedestrian,Female
10AA0507521,Passenger,Female
10BA0507823,Driver,Female
10BA0509174,Driver,Female
10BA0509174,Passenger,Female
10BA0516577,Driver,Female
10MU0507777,Driver,Male
10MU0507777,Driver,Male
10MU0507777,Passenger,Male
10MU0507777,Passenger,Male
10MU0507777,Passenger,Male
10AA0513815,Driver,Female
10BA0509655,Driver,Female
10BA0509655,Driver,Male
10BA0516746,Driver,Male
10CA0509242,Pedestrian,Male
10CA0511888,Pedestrian,Female
10MU0006915,Passenger,Male
10AA0510216,Driver,Female
10BA0512805,Pedestrian,Female
10CA0509564,Driver,Female
10BA0513525,Driver,Male
10CA0511483,Driver,Female
10CA0511483,Driver,Male
10CA0511705,Passenger,Female
10MU0006936,Driver,Male
10MU0006948,Driver,Female
10MU0006948,Driver,Female
10MU0006949,Driver,Male
10MU0006949,Passenger,Female
10MU0006973,Driver,Female
10BA0512496,Driver,Female
10BA0512561,Driver,Male
10BA0513402,Driver,Female
10BA0517183,Driver,Female
10MU0006945,Driver,Male
10AA0514362,Passenger,Female
10AA0515611,Driver,Male
10AA0517947,Passenger,Female
10AA0533732,Driver,Female
10AA0533732,Passenger,Female
10BA0514491,Pedestrian,Female
10MU0006955,Driver,Male
10MU0006955,Passenger,Female
10MU0696610,Driver,Male
10BA0517233,Driver,Male
10BA0521045,Driver,Male
10CA0515735,Driver,Male
10CA0515735,Driver,Male
10AA0543733,Driver,Male
10AA0543733,Passenger,Male
10AA0543733,Passenger,Female
10BA0516980,Driver,Female
10MU0006974,Driver,Female
10AA0517605,Passenger,Male
10AA0517605,Passenger,Female
10MU0006969,Passenger,Female
10MU0006969,Passenger,Female
10AA0519129,Driver,Male
10AA0519186,Driver,Male
10AA0519578,Pedestrian,Male
10BA0519239,Driver,Male
10BA0519242,Driver,Female
10BA0519390,Driver,Female
10BA0519390,Passenger,Female
10BA0519440,Driver,Female
10BA0523101,Driver,Female
10BA0524035,Driver,Male
10BA0548079,Driver,Female
10AA0520420,Driver,Male
10AA0520599,Pedestrian,Female
10CA0521428,Passenger,Female
10CA0521955,Driver,Female
10AA0522624,Driver,Female
10AA0523005,Driver,Male
10AA0523005,Passenger,Female
10BA0523072,Pedestrian,Male
10BA0523132,Pedestrian,Female
10CA0521587,Passenger,Male
10CA0521587,Passenger,Male
10CA0521587,Driver,Male
10AA0524523,Driver,Female
10BA0524513,Driver,Female
10BA0524513,Passenger,Male
10BA0524704,Driver,Female
10AA0526391,Driver,Male
10BA0525516,Driver,Male
10BA0525516,Passenger,Female
10BA0525589,Pedestrian,Male
10BA0526595,Pedestrian,Male
10CA0526900,Passenger,Female
10AA0527068,Pedestrian,Female
10BA0526775,Driver,Male
10BA0526775,Passenger,Female
10BA0528316,Passenger,Male
10BA0528553,Driver,Female
10BA0532967,Passenger,Female
10CA0526933,Pedestrian,Female
10CA0527499,Pedestrian,Female
10CA0527502,Driver,Female
10CA0527502,Driver,Female
10CA0528269,Pedestrian,Male
10CA0528479,Driver,Female
10MU0527628,Driver,Male
10MU0528480,Driver,Female
10AA0528190,Driver,Male
10AA0528767,Driver,Female
10AA0528767,Passenger,Female
10BA0528452,Passenger,Male
10BA0529322,Driver,Female
10CA0528516,Driver,Male
10CA0528951,Passenger,Female
10CA0528951,Passenger,Female
10CA0529809,Passenger,Female
10CA0533706,Pedestrian,Male
10BA0529716,Driver,Female
10BA0530059,Driver,Male
10BA0530059,Driver,Female
10BA0530154,Pedestrian,Male
10BA0531902,Driver,Male
10BA0531902,Driver,Male
10BA0531902,Passenger,Female
10CA0531135,Driver,Female
10CA0531977,Passenger,Female
10CA0533407,Driver,Male
10AA0533766,Driver,Male
10AA0533824,Driver,Male
10AA0534067,Driver,Male
10CA0532859,Pedestrian,Male
10CA0533828,Driver,Male
10AA0535474,Pedestrian,Male
10AA0535474,Driver,Male
10AA0545773,Passenger,Female
10BA0535305,Passenger,Female
10BA0535478,Driver,Male
10CA0535332,Driver,Male
10CA0536262,Driver,Male
10MU0534948,Driver,Male
10BA0536602,Driver,Male
10BA0537587,Driver,Female
10BA0537587,Passenger,Female
10CA0536254,Driver,Female
10CA0537304,Pedestrian,Male
10AA0538540,Driver,Male
10AA0540079,Driver,Female
10BA0538127,Pedestrian,Male
10BA0538816,Driver,Male
10BA0538816,Passenger,Female
10BA0538943,Passenger,Female
10BA0538970,Driver,Male
10CA0538551,Driver,Female
10CA0538551,Driver,Female
10CA0538792,Driver,Male
10CA0540765,Pedestrian,Male
10CA0540799,Driver,Male
10AA0539269,Pedestrian,Male
10AA0547540,Driver,Male
10CA0540333,Passenger,Male
10CA0540333,Passenger,Male
10CA0540333,Passenger,Male
10BA0541121,Driver,Male
10BA0545533,Driver,Male
10MU0541201,Passenger,Female
10AA0541793,Driver,Female
10AA0544154,Passenger,Female
10CA0542713,Driver,Male
10CA0542713,Driver,Male
10CA0542906,Driver,Male
10MU0542950,Passenger,Female
10MU0543126,Driver,Male
10MU0543126,Passenger,Male
10AA0544072,Driver,Male
10AA0544072,Driver,Male
10AA0544072,Passenger,Female
10AA0544072,Passenger,Male
10AA0544072,Passenger,Male
10BA0544194,Driver,Female
10BA0544252,Driver,Male
10CA0543862,Driver,Female
10CA0543862,Driver,Female
10CA0543862,Passenger,Female
10CA0544513,Passenger,Female
10AA0545867,Pedestrian,Female
10AA0545867,Pedestrian,Female
10CA0545323,Passenger,Female
10CA0546220,Pedestrian,Female
10MU0546061,Driver,Male
10AA0546472,Driver,Male
10AA0546472,Driver,Male
10AA0547105,Pedestrian,Male
10BA0546550,Driver,Male
10BA0546647,Driver,Female
10BA0546647,Driver,Female
10BA0546647,Passenger,Female
10CA0546566,Pedestrian,Female
10CA0547334,Driver,Male
10CA0547334,Driver,Female
10CA0547334,Driver,Male
10CA0547334,Passenger,Male
10CA0547384,Passenger,Female
10AA0024591,Driver,Male
10AA0024591,Driver,Male
10AA0548538,Driver,Male
10BA0012734,Passenger,Female
10CA0548734,Pedestrian,Male
10CA0548925,Driver,Male
10CA0548925,Passenger,Male
10CA0549216,Pedestrian,Female
10AA0550784,Driver,Male
10CA0550122,Driver,Male
10MU0549754,Driver,Male
10AA0550633,Pedestrian,Female
10AA0003345,Driver,Male
10AA0552240,Passenger,Male
10AA0552936,Pedestrian,Male
10BA0552703,Driver,Female
10CA0552167,Driver,Female
10CA0552763,Pedestrian,Male
10AA0553944,Pedestrian,Male
10BA0553559,Driver,Female
10BA0553971,Passenger,Female
10CA0555785,Pedestrian,Male
10AA0000088,Pedestrian,Male
10AA0000206,Pedestrian,Male
10AA0555582,Driver,Male
10BA0555070,Passenger,Female
